TIME-IN ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 03,2025",,,,,,,,,,,,,
"November  15,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,0,3,24,24,43,34,18,12,25,43,7,0,233
Ipad Area,0,0,2,9,18,9,15,9,13,15,4,0,94
Relaxation Room,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Study Room,0,0,0,0,0,3,1,6,4,4,0,0,18
Laptop Area,0,0,0,0,0,0,0,0,0,0,0,0,0
Smart Device Zone,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,0,3,26,33,61,46,34,27,42,62,11,0,345
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 17,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,6,12,64,46,95,96,63,56,41,43,20,12,554
Ipad Area,0,1,12,25,10,13,9,11,18,30,3,1,133
Relaxation Room,0,0,2,11,19,46,12,19,20,4,5,0,138
Individual Study Room,0,0,3,2,7,11,12,10,3,2,0,0,50
Laptop Area,0,6,11,16,33,45,45,40,57,52,19,0,324
Smart Device Zone,0,6,23,12,20,14,11,17,13,8,0,0,124
TOTAL,6,25,115,112,184,225,152,153,152,139,47,13,1323
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 18,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,9,40,97,76,72,127,71,78,76,77,28,18,769
Ipad Area,2,7,25,20,14,26,25,34,18,17,6,18,212
Relaxation Room,1,7,32,22,18,25,14,23,30,15,15,0,202
Individual Study Room,1,3,21,15,17,21,8,17,13,11,3,0,130
Laptop Area,3,8,29,44,31,63,26,50,52,53,15,0,374
Smart Device  Zone,1,4,13,30,41,50,58,47,41,41,2,0,328
TOTAL,17,69,217,207,193,312,202,249,230,214,69,36,2015
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 19,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,3,35,98,87,98,136,115,130,81,111,53,7,954
Ipad Area,4,3,16,30,23,31,21,20,13,30,4,10,205
Relaxation Room,0,2,15,26,21,49,7,22,31,19,8,1,201
Individual Study Room,0,4,13,9,16,19,17,10,21,12,2,0,123
Laptop Area,1,1,35,30,51,42,52,54,42,110,0,0,418
Smart Device Zone,0,4,17,13,38,39,42,36,28,33,0,0,250
TOTAL,8,49,194,195,247,316,254,272,216,315,67,18,2151
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 20,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,12,43,70,80,115,98,110,86,125,147,22,40,948
